FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,abattoir_nom,abattoir_type,organisme,batiment_fonction,centroid_lon,centroid_lat,region_nom_bdd_norm,prefecture_nom_bdd_norm,canton_nom_bdd_norm,source,prefecture_nom_bdd_clean
_mview_agrianimaux_etablissements_abattoir.fid-54b5a690_19f1563616b_47be,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Aire d'abattage des petits ruminants d'Agoe-Zongo,Traditionnel,Onaf,"Une parc,un bureau, une garde ,les toilettes",1.2078533333333332,6.254586666666667,maritime,agoe nyive,togblekope,abattoirs,agoe nyive
_mview_agrianimaux_etablissements_abattoir.fid-54b5a690_19f1563616b_47bf,Maritime,Avé,Avé 1,Tovégan,Togo volaille,autre,Nsp,Nsp,0.9204116666666666,6.521438333333333,maritime,ave,tovegan,abattoirs,ave
_mview_agrianimaux_etablissements_abattoir.fid-54b5a690_19f1563616b_47c0,Maritime,Vo,Vo 1,Vogan,Abattoir de Vogan,Traditionnel,Nsp,Nsp,1.523597,6.34023932,maritime,vo,vogan,abattoirs,vo
_mview_agrianimaux_etablissements_abattoir.fid-54b5a690_19f1563616b_47c1,Maritime,Yoto,Yoto 1,Tabligbo,Abattoir de Tabligbo,Traditionnel,Commune de Tabligbo,Bureau ;espace de charcutage,1.5040724170116768,6.584192150105979,maritime,yoto,tabligbo,abattoirs,yoto
_mview_agrianimaux_etablissements_abattoir.fid-54b5a690_19f1563616b_47c2,Maritime,Lacs,Lacs 1,Canton D’Aneho,Abattoir d'Aneho,Traditionnel,Néant,Abattoir,1.6080666766246687,6.239753721674982,maritime,lacs,canton d’aneho,abattoirs,lacs
_mview_agrianimaux_etablissements_abattoir.fid-54b5a690_19f1563616b_47c3,Maritime,Zio,Zio 3,Gamé-Sèva,Abattoir Terre Benie,industriel,Terre benie,Abbatoir chambre froide,1.1721360484811947,6.741413879028599,maritime,zio,game seva,abattoirs,zio
_mview_agrianimaux_etablissements_abattoir.fid-54b5a690_19f1563616b_47c4,Maritime,Zio,Zio 1,Tsévié,Abattoir municipal de Tsevie,Traditionnel,Mairie,Abattoir,1.2238086981517273,6.432770936946612,maritime,zio,tsevie,abattoirs,zio
_mview_agrianimaux_etablissements_abattoir.fid-54b5a690_19f1563616b_47c5,Plateaux,Agou,Agou 1,Gadja,Agro Business Compagnie,industriel,Nsp,Bâtiment d'abatoir,0.8083770224078292,6.840944757328345,plateaux,agou,gadja,abattoirs,agou
_mview_agrianimaux_etablissements_abattoir.fid-54b5a690_19f1563616b_47c6,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Abattoir de Kpalimé (Madjatom),Traditionnel,Nsp,Logement et pour l'abattage des bêtes,0.6597966666666667,6.908864999999999,plateaux,kloto,agome kpalime,abattoirs,kloto
_mview_agrianimaux_etablissements_abattoir.fid-54b5a690_19f1563616b_47c7,Plateaux,Wawa,Wawa 1,Badou,Abbatoir de Badou (Kessibo),autre,Nsp,Abattoir,0.6054233333333333,7.594971666666667,plateaux,wawa,badou,abattoirs,wawa
