prefecture_nom_bdd,nb_cantons,nb_cantons_equipes,total_infra,nb_types_max,nb_types_moy,taux_couverture,infra_par_canton
Agou,12,12,301,5,2.9166666666666665,100.0,25.08
Agoè-Nyivé,6,6,72,3,2.1666666666666665,100.0,12.0
Akébou,6,6,19,3,1.3333333333333333,100.0,3.17
Amou,13,13,131,3,1.7692307692307692,100.0,10.08
Anié,6,6,54,4,2.0,100.0,9.0
Assoli,6,6,66,4,2.0,100.0,11.0
Avé,9,9,243,4,2.888888888888889,100.0,27.0
Bas-Mono,7,7,79,3,1.5714285714285714,100.0,11.29
Bassar,10,10,124,4,2.7,100.0,12.4
Binah,8,8,42,2,1.375,100.0,5.25
Blitta,17,17,134,4,1.7647058823529411,100.0,7.88
Cinkassé,5,5,22,3,2.4,100.0,4.4
Dankpen,12,12,90,4,2.5833333333333335,100.0,7.5
Danyi,5,5,25,4,1.8,100.0,5.0
Doufelgou,12,12,53,4,2.6666666666666665,100.0,4.42
Est-Mono,7,7,51,3,2.142857142857143,100.0,7.29
Golfe,7,7,258,4,2.5714285714285716,100.0,36.86
Haho,10,10,480,5,3.0,100.0,48.0
Kloto,13,13,78,4,2.0,100.0,6.0
Kozah,15,15,127,5,2.1333333333333333,100.0,8.47
Kpendjal,4,4,31,3,1.5,100.0,7.75
Kpendjal-Ouest,7,7,28,3,2.142857142857143,100.0,4.0
Kpélé,9,9,85,4,2.2222222222222223,100.0,9.44
Kéran,8,8,59,4,2.75,100.0,7.38
Lacs,10,10,157,4,2.4,100.0,15.7
Moyen-Mono,6,6,37,3,1.8333333333333333,100.0,6.17
Mô,5,5,14,3,1.4,100.0,2.8
Ogou,8,8,119,3,1.75,100.0,14.88
Oti,6,6,40,4,2.3333333333333335,100.0,6.67
Oti-Sud,5,5,17,3,1.8,100.0,3.4
Sotouboua,11,11,109,4,2.3636363636363638,100.0,9.91
Tandjoaré,13,13,88,4,1.7692307692307692,100.0,6.77
Tchamba,8,8,61,3,1.875,100.0,7.62
Tchaoudjo,13,13,132,4,2.0,100.0,10.15
Tône,18,18,172,4,2.388888888888889,100.0,9.56
Vo,8,8,82,4,2.125,100.0,10.25
Wawa,10,10,27,2,1.1,100.0,2.7
Yoto,12,12,64,3,1.6666666666666667,100.0,5.33
Zio,16,16,321,5,2.6875,100.0,20.06
