region_nom_bdd,prefecture_nom_bdd,canton_nom_bdd,n_elevage,n_abattoirs,n_pisciculture,n_retenues_eau,n_barrages,total_infra,nb_types
Plateaux,Haho,Wahala,168,0,0,6,4,178,3
Maritime,Golfe,Aflao-Sagbado,117,0,0,0,0,117,1
Plateaux,Agou,Gadja,42,1,2,33,15,93,5
Maritime,Zio,Tsévié,60,1,0,8,8,77,4
Plateaux,Haho,Kpédomé,55,0,2,7,5,69,4
Centrale,Blitta,Blitta,52,0,1,6,5,64,4
Maritime,Avé,Aképé,58,0,0,0,0,58,1
Maritime,Golfe,Baguida,47,0,6,3,0,56,3
Plateaux,Agou,Amoussou-Kopé,28,0,4,16,5,53,4
Plateaux,Haho,Hahomégbé,41,0,0,5,5,51,3
Maritime,Zio,Gapé-Centre,40,0,2,6,3,51,4
Maritime,Zio,Bolou,35,0,0,7,7,49,3
Plateaux,Agou,Agotimé-Nord,19,0,0,20,10,49,3
Maritime,Lacs,Agbodrafo,39,1,8,0,0,48,3
Maritime,Avé,Badja,18,0,0,24,2,44,3
Plateaux,Haho,Notsé,33,1,1,4,4,43,5
Maritime,Golfe,Bè-Ouest,34,2,0,6,0,42,3
Maritime,Avé,Kévé,21,0,2,11,2,36,4
Plateaux,Haho,Atchavé,28,0,0,3,5,36,3
Maritime,Zio,Gamé-Sèva,19,1,2,6,6,34,5
Savanes,Tandjoaré,Sissiak,30,0,0,2,1,33,3
Plateaux,Ogou,Gléi,30,0,0,1,1,32,3
Maritime,Vo,Vogan,27,1,2,1,0,31,4
Plateaux,Haho,Dalia,27,0,0,1,1,29,3
Maritime,Zio,Agbélouvé,16,0,4,7,2,29,4
Maritime,Avé,Ando,11,0,0,15,2,28,3
Plateaux,Haho,Asrama,21,0,0,4,3,28,3
Maritime,Agoè-Nyivé,Sanguera,23,0,0,3,1,27,3
Plateaux,Agou,Agou-Kébo,27,0,0,0,0,27,1
Savanes,Tandjoaré,Bombouaka,3,1,0,15,6,25,4
Kara,Assoli,Bouladè,24,0,0,0,0,24,1
Maritime,Lacs,Gbodjomé,20,0,4,0,0,24,2
Savanes,Tône,Toaga,5,0,1,10,8,24,4
Plateaux,Haho,Djemegni,19,0,0,2,3,24,3
Savanes,Tône,Korbongou,18,0,0,3,3,24,3
Plateaux,Anié,Anié,20,0,1,1,1,23,4
Kara,Bassar,Sanda-Kagbanda,12,1,0,5,5,23,4
Plateaux,Agou,Agotimé-Sud (Adzakpa),14,0,1,6,2,23,4
Plateaux,Ogou,Djama,23,0,0,0,0,23,1
Maritime,Bas-Mono,Agome-Glozou,10,0,1,11,0,22,3
Plateaux,Amou,Evou,22,0,0,0,0,22,1
Maritime,Lacs,Glidji,17,0,5,0,0,22,2
Maritime,Avé,Zolo,12,0,1,8,0,21,3
Plateaux,Kpélé,Kpélé-Nord,18,0,2,0,0,20,2
Kara,Kozah,Pya,15,0,0,3,1,19,3
Kara,Bassar,Bangeli,18,1,0,0,0,19,2
Kara,Bassar,Manga,19,0,0,0,0,19,1
Maritime,Avé,Tovégan,9,1,0,8,1,19,4
Plateaux,Amou,Kpatégan,16,0,0,1,1,18,3
Maritime,Avé,Assahoun,6,0,1,11,0,18,3
Centrale,Tchaoudjo,Kpangalam,18,0,0,0,0,18,1
Centrale,Tchaoudjo,Lama-Tessi,16,0,0,1,1,18,3
Savanes,Tône,Dapaong,7,0,0,7,4,18,3
Maritime,Bas-Mono,Afagnan-Gbléta,18,0,0,0,0,18,1
Centrale,Sotouboua,Tchébébé,16,0,0,1,0,17,2
Kara,Kozah,Kpinzindè,11,0,1,3,2,17,4
Centrale,Tchamba,Kaboli,14,0,3,0,0,17,2
Kara,Bassar,Bassar,12,1,0,2,2,17,4
Maritime,Bas-Mono,Attitogon,13,0,4,0,0,17,2
Plateaux,Ogou,Datcha,17,0,0,0,0,17,1
Plateaux,Haho,Akpakpakpé,13,0,0,3,0,16,2
Plateaux,Est-Mono,Elavagnon,11,0,0,3,2,16,3
Plateaux,Est-Mono,Morétan,7,0,0,8,1,16,3
Plateaux,Kloto,Tové,14,0,0,1,1,16,3
Kara,Assoli,Alédjo,14,0,0,1,1,16,3
Plateaux,Anié,Kolo-Kopé,16,0,0,0,0,16,1
Centrale,Sotouboua,Aouda,12,0,0,2,2,16,3
Savanes,Tône,Tami,1,0,0,8,7,16,3
Centrale,Sotouboua,Adjengré,12,0,0,2,2,16,3
Maritime,Zio,Gblainvié,6,0,0,6,4,16,3
Maritime,Lacs,Anfoin,10,0,6,0,0,16,2
Kara,Kozah,Commune De Kara,9,1,2,2,2,16,5
Plateaux,Kpélé,Kpélé-Gbalédzé,13,0,1,1,1,16,4
Centrale,Tchaoudjo,Kparataou,15,0,0,1,0,16,2
Plateaux,Agou,Agou-Nyogbo-Agbétiko,11,0,1,2,2,16,4
Plateaux,Amou,Amlamé (Ouma),16,0,0,0,0,16,1
Kara,Kéran,Pessidè,4,0,0,10,1,15,3
Maritime,Lacs,Aklakou,7,0,0,5,3,15,3
Plateaux,Amou,Avédjè,12,0,2,1,0,15,3
Plateaux,Ogou,Gnagna,15,0,0,0,0,15,1
Centrale,Sotouboua,Sotouboua,10,1,0,3,1,15,4
Plateaux,Ogou,Akparé,12,0,0,2,1,15,3
Savanes,Tône,Nanergou,5,0,0,5,5,15,3
Maritime,Yoto,Essé-Godjin,9,0,0,6,0,15,2
Maritime,Golfe,Bè-Est,9,1,3,2,0,15,4
Kara,Kozah,Tcharè,15,0,0,0,0,15,1
Kara,Assoli,Soudou,12,0,1,1,1,15,4
Centrale,Tchaoudjo,Sokodè (Komah),12,2,0,1,0,15,3
Savanes,Kpendjal,Mandouri,11,0,0,2,1,14,3
Centrale,Tchaoudjo,Tchalo,13,0,0,1,0,14,2
Kara,Kozah,Tchitchao,13,0,0,1,0,14,2
Maritime,Golfe,Amoutivé,11,0,1,2,0,14,3
Maritime,Agoè-Nyivé,Agoè-Nyivé,14,0,0,0,0,14,1
Centrale,Tchamba,Affem,6,0,0,4,4,14,3
Plateaux,Kpélé,Kpélé-Dawlotou,10,0,1,1,1,13,4
Kara,Kozah,Atchangbadè,7,0,0,3,3,13,3
Kara,Bassar,Kabou,8,1,0,2,2,13,4
Plateaux,Kpélé,Kpélé-Govié,12,0,0,1,0,13,2
Savanes,Tône,Poissongui,11,0,0,1,1,13,3
Savanes,Oti,Galangashie,11,1,0,1,0,13,3
Maritime,Avé,Noépé,10,0,0,3,0,13,2
Kara,Dankpen,Naompoch,6,0,0,3,3,12,3
Maritime,Vo,Togoville,9,0,3,0,0,12,2
Plateaux,Amou,Amou-Oblo,10,0,2,0,0,12,2
Kara,Bassar,Sanda-Afohou,10,0,0,1,1,12,3
Plateaux,Kloto,Yokélé,11,0,0,1,0,12,2
Savanes,Oti,Mango,6,1,0,2,2,11,4
Maritime,Golfe,Aflao-Gakli,3,0,0,7,1,11,3
Savanes,Tône,Louanga,9,0,0,1,1,11,3
Plateaux,Moyen-Mono,Tohoun,7,0,4,0,0,11,2
Centrale,Blitta,Yaloumbè,7,0,0,2,2,11,3
Kara,Dankpen,Guérin-Kouka,4,1,0,3,3,11,4
Kara,Dankpen,Natchitikpi,9,0,0,1,1,11,3
Maritime,Vo,Hahotoé,8,0,3,0,0,11,2
Kara,Doufelgou,Kadjalla,5,0,0,3,3,11,3
Plateaux,Amou,Témédja,11,0,0,0,0,11,1
Kara,Binah,Pagouda,8,0,0,3,0,11,2
Kara,Dankpen,Nandouta,3,0,0,4,4,11,3
Maritime,Zio,Kovié,9,0,2,0,0,11,2
