FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,centroid_lon,centroid_lat,region_nom_bdd_norm,prefecture_nom_bdd_norm,canton_nom_bdd_norm,source,prefecture_nom_bdd_clean
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c02,Centrale,Blitta,Blitta 1,Blitta,Ditcheyidadi,Ditcheyidadi,Tondja -ditcheyidadi,"{Lundi,Mardi,jeudi,Mercredi,Vendredi,Samedi,Dimanche}",1988,{Construit et Utilise},{Elevage traditionnel},{WCs},0.9572105764991712,8.280226249741466,centrale,blitta,blitta,elevage,blitta
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c03,Centrale,Blitta,Blitta 1,Blitta,Tondja,Ferme Panouzi,"Blitta gare,tondja","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Dimanche,Samedi}",2012,{Construit et Utilise},{Elevage traditionnel},"{Douches,WCs,Latrines seches}",0.9583426745945413,8.279474236621624,centrale,blitta,blitta,elevage,blitta
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c04,Centrale,Blitta,Blitta 1,Blitta-Village,Tomegbe,Sowougan,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2017,{Construit et Utilise},"{Elevage traditionnel,autre}",{autre},1.0101509226355387,8.368283215851244,centrale,blitta,blitta village,elevage,blitta
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c05,Centrale,Blitta,Blitta 1,Blitta-Village,Yomaboua,Anah,Yomaboua,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2008,{Construit et Utilise},{Elevage traditionnel},{autre},0.9910766914591107,8.388764498257826,centrale,blitta,blitta village,elevage,blitta
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c06,Centrale,Sotouboua,Sotouboua 2,Kériadé,N'djavezi 3,Élevage Patchassi,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2016,{Construit et Utilise},{Elevage traditionnel},{autre},0.9429194241727226,8.636902612812767,centrale,sotouboua,keriade,elevage,sotouboua
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c07,Centrale,Sotouboua,Sotouboua 3,Kazaboua,Kaza-pouwedou,Ferme Louis,Kazaboua/kaza_pouwedou,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Construit et Utilise},{Elevage traditionnel},{Douches},1.1539235423594278,8.428967914251231,centrale,sotouboua,kazaboua,elevage,sotouboua
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c08,Centrale,Blitta,Blitta 2,Agbandi,Mono,Ferme Waguegna,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Construit et Utilise},{Elevage traditionnel},{autre},1.2184658848634646,8.247648550727245,centrale,blitta,agbandi,elevage,blitta
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c09,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Djove,Kudahe,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2021,{Construit et Utilise},{Elevage traditionnel},{autre},1.2276819857714296,6.353424921514574,maritime,agoe nyive,adetikope,elevage,agoe nyive
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c0a,Centrale,Blitta,Blitta 1,Yaloumbè,Zongo,Ferme Komou,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2000,{En construction},{elevage industriel},"{Douches,WCs}",1.0710617169923977,8.311657398661316,centrale,blitta,yaloumbe,elevage,blitta
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c0b,Centrale,Sotouboua,Sotouboua 1,Tabindè,Katada,Mille Et Une Merveille,Tabende/katada,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,{Construit et Utilise},{Elevage traditionnel},"{Latrines a eau,Douches}",1.0711588963477152,8.513644023219534,centrale,sotouboua,tabinde,elevage,sotouboua
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c0c,Plateaux,Agou,Agou 2,Agotimé-Nord,Kotokope,Dorikko,Dorikko-kotokope,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,{En construction},{elevage industriel},{WCs},0.7360655752191965,6.721135871758561,plateaux,agou,agotime nord,elevage,agou
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c0d,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Djove,Abalo,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2020,{Construit et Utilise},{Elevage traditionnel},{autre},1.2273011589279164,6.353542231637275,maritime,agoe nyive,adetikope,elevage,agoe nyive
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c0e,Plateaux,Ogou,Ogou 1,Houdou,Foukotelogodohoe,Ferme Amegan,91638305,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,{Ferme},{Elevage traditionnel},{autre},1.1545397705974305,7.613087540977772,plateaux,ogou,houdou,elevage,ogou
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c0f,Maritime,Avé,Avé 2,Aképé,Kpekome,La Sagesse,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2007,{Construit et Utilise},{Elevage traditionnel},{autre},1.0668107632098502,6.247336075962387,maritime,ave,akepe,elevage,ave
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c10,Plateaux,Kloto,Kloto 1,Tové,Kpeda,Klu,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,{Construit et Utilise},{Elevage traditionnel},{autre},0.7209130867605448,6.907159701268269,plateaux,kloto,tove,elevage,kloto
_mview_general_etablissements_elevage.fid-54b5a690_19f1563616b_3c11,Plateaux,Kloto,Kloto 1,Tové,Agou Nyogbo,Amekulafe,Agou nyogbo / agou,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2008,{Construit et Utilise},{Elevage traditionnel},{autre},0.7130238862987255,6.874066141461611,plateaux,kloto,tove,elevage,kloto
