FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,etab_adr,ouverture_jour,organisme,centroid_lon,centroid_lat,region_nom_bdd_norm,prefecture_nom_bdd_norm,canton_nom_bdd_norm,source,prefecture_nom_bdd_clean
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47e2,Maritime,Avé,Avé 1,Kévé,Keve vogancope,"{Lundi,Mercredi,Mardi,Jeudi,Vendredi,Samedi,Dimanche}",FAPV,1.0324875814619636,6.465044410372714,maritime,ave,keve,pisciculture,ave
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47e3,Maritime,Avé,Avé 1,Kévé,Keve,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",LORENOVICH INTERNATIONAL,1.0189944788197387,6.463083166551295,maritime,ave,keve,pisciculture,ave
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47e4,Maritime,Avé,Avé 1,Assahoun,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,0.908986396487621,6.471479069614982,maritime,ave,assahoun,pisciculture,ave
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47e5,Maritime,Vo,Vo 1,Vogan,Rue légbanou,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",FERME DOKOE,1.5332570503323073,6.364507208032704,maritime,vo,vogan,pisciculture,vo
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47e6,Maritime,Vo,Vo 1,Vogan,Non loin de la nationale 34,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Informel,1.5527530724457255,6.334158334513434,maritime,vo,vogan,pisciculture,vo
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47e7,Maritime,Vo,Vo 1,Vo-Koutimé,Caf de koutime près du lycée de koutime,"{Dimanche,Samedi,Jeudi,Mercredi,Vendredi,Mardi,Lundi}",Nsp,1.5576207320096196,6.355894346934545,maritime,vo,vo koutime,pisciculture,vo
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47e8,Maritime,Vo,Vo 2,Togoville,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Public,1.4805835411891577,6.228401331101352,maritime,vo,togoville,pisciculture,vo
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47e9,Maritime,Vo,Vo 2,Togoville,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",PASA,1.514171448790812,6.232985652754923,maritime,vo,togoville,pisciculture,vo
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47ea,Maritime,Vo,Vo 2,Togoville,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.5131326906587277,6.232354489186828,maritime,vo,togoville,pisciculture,vo
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47eb,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Masseda zogble,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Coopérative LAMESSE,1.6854866856340276,6.454621552698557,maritime,bas mono,attitogon,pisciculture,bas mono
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47ec,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Masseda,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}","Corps de la paix, PASA",1.6793492428050671,6.4563464940285575,maritime,bas mono,attitogon,pisciculture,bas mono
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47ed,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Bp 04 anfoin,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Néant,1.6395227405471207,6.370951363364757,maritime,bas mono,attitogon,pisciculture,bas mono
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47ee,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Goudjokope,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.6590054260633569,6.444242373472959,maritime,bas mono,attitogon,pisciculture,bas mono
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47ef,Maritime,Bas-Mono,Bas-Mono 2,Hompou,Toulassi condji,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.6683556782932703,6.405098543377078,maritime,bas mono,hompou,pisciculture,bas mono
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47f0,Maritime,Bas-Mono,Bas-Mono 2,Agome-Glozou,Hontowou,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Coopérative,1.6824196116860346,6.530637313720212,maritime,bas mono,agome glozou,pisciculture,bas mono
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47f1,Maritime,Bas-Mono,Bas-Mono 2,Agbétiko,Lotame,"{Lundi,Mercredi,Vendredi,Dimanche}",Néant,1.7048769411580391,6.495748210548169,maritime,bas mono,agbetiko,pisciculture,bas mono
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47f2,Maritime,Vo,Vo 3,Dzrékpo,Badjenope,"{Lundi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",AGAYIB,1.559224257601992,6.409597320598123,maritime,vo,dzrekpo,pisciculture,vo
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47f3,Centrale,Tchamba,Tchamba 3,Goubi,92307240,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Néant,1.4663546670736387,8.706317256427097,centrale,tchamba,goubi,pisciculture,tchamba
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47f4,Maritime,Golfe,Golfe 4,Amoutivé,Nyekonakpoé,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,1.205680639411866,6.1337878548673705,maritime,golfe,amoutive,pisciculture,golfe
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47f5,Maritime,Golfe,Golfe 6,Baguida,Maya kope,"{Jeudi,Dimanche,Samedi,Vendredi,Mercredi,Mardi,Lundi}",Privé,1.3085687462172413,6.182784519984034,maritime,golfe,baguida,pisciculture,golfe
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47f6,Maritime,Golfe,Golfe 6,Baguida,Pas d'interlocuteur car le propriétaire est décédé,"{Dimanche,Samedi,Jeudi,Mercredi,Vendredi,Mardi,Lundi}",Nsp,1.3495958528122003,6.197305670947748,maritime,golfe,baguida,pisciculture,golfe
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47f7,Maritime,Golfe,Golfe 6,Baguida,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,1.322416212507588,6.182177394118139,maritime,golfe,baguida,pisciculture,golfe
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47f8,Maritime,Golfe,Golfe 6,Baguida,Kangni cope,"{Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Privé,1.2986567836857899,6.179821808613326,maritime,golfe,baguida,pisciculture,golfe
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_47f9,Maritime,Golfe,Golfe 6,Baguida,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",LOFTY SARL,1.3576527879893414,6.172872529905215,maritime,golfe,baguida,pisciculture,golfe
