FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,village,barrage_nom_officiel,barrage_type,barrage_utilisation,centroid_lon,centroid_lat,region_nom_bdd_norm,prefecture_nom_bdd_norm,canton_nom_bdd_norm,source,prefecture_nom_bdd_clean
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_486f,Maritime,Avé,Avé 1,Ando,Adekpui,Nsp,Retenue d'eau,{autre},0.8058417365974109,6.478081740719331,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4870,Maritime,Avé,Avé 1,Kévé,Seve-kpota,Nsp,Retenue d'eau,"{elevage,irrigation}",0.9622014691513414,6.43484954733122,maritime,ave,keve,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4871,Maritime,Golfe,Golfe 4,Amoutivé,Nyekonakpoé,Barrage Togbato de Nyekonakpoé,Retenue d'eau,"{irrigation,elevage}",1.2061134646457612,6.136880728296664,maritime,golfe,amoutive,retenues_eau,golfe
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4872,Savanes,Oti,Oti 2,Galangashie,Nagouni,N/a,Mare naturelle,{autre},0.22443419269049739,10.415992083085593,savanes,oti,galangashie,retenues_eau,oti
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4873,Maritime,Zio,Zio 4,Gapé-Centre,Lome5,Nsp,Retenue d'eau,"{elevage,autre}",1.132108935775333,6.56063755143967,maritime,zio,gape centre,retenues_eau,zio
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4874,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Dagbesito,N/a,Mare naturelle,{autre},1.1105729191046019,6.255337280604689,maritime,agoe nyive,sanguera,retenues_eau,agoe nyive
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4875,Maritime,Avé,Avé 1,Ando,Adekpui,Nsp,Retenue d'eau,{autre},0.8054827379070019,6.478512020985026,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4876,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Klouvi Kpota,N/a,Mare naturelle,{autre},1.107129091354994,6.253472485568727,maritime,agoe nyive,sanguera,retenues_eau,agoe nyive
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4877,Maritime,Avé,Avé 1,Kévé,Dangbouikope,Barrage de Dangbouicopé,Retenue d'eau,{elevage},0.9556195694979531,6.405726827965364,maritime,ave,keve,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4878,Maritime,Avé,Avé 1,Ando,Adekpui,Nsp,Retenue d'eau,{autre},0.8061736899088886,6.477869749927218,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4879,Plateaux,Haho,Haho 3,Kpédomé,Agbatitoe,Nsp,Retenue d'eau,{irrigation},1.1543757286461656,7.0927892341025975,plateaux,haho,kpedome,retenues_eau,haho
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_487a,Maritime,Avé,Avé 1,Kévé,Yometchin,N/a,Barrage paysan,"{elevage,irrigation}",1.0210048054027794,6.495881917947558,maritime,ave,keve,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_487b,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Kpotave,Mare de Kpotavé,Mare artificielle,{irrigation},1.2283190417333405,6.296028146925475,maritime,agoe nyive,adetikope,retenues_eau,agoe nyive
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_487c,Maritime,Avé,Avé 1,Ando,Adekpui,Nsp,Retenue d'eau,{elevage},0.8063689673001657,6.4777748312868795,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_487d,Kara,Doufelgou,Doufelgou 3,Tchoré,Tchore,Retenue Emlemou,Retenue d'eau,{autre},1.0062931131363695,9.84324678663545,kara,doufelgou,tchore,retenues_eau,doufelgou
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_487e,Maritime,Avé,Avé 1,Ando,Agbadzanake,Nsp,Retenue d'eau,{elevage},0.8143053273205083,6.475192480909541,maritime,ave,ando,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_487f,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassito,N/a,Mare naturelle,{elevage},1.1526939669588092,6.251937311460325,maritime,agoe nyive,legbassito,retenues_eau,agoe nyive
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4880,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassito,N/a,Mare naturelle,{autre},1.145200895595036,6.263544364225202,maritime,agoe nyive,legbassito,retenues_eau,agoe nyive
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4881,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Elavagno Atchavé,Barrage de Atchavé 1,Bassins de retentions d eau,{autre},1.1761564233106043,6.210268976277396,maritime,agoe nyive,vakpossito,retenues_eau,agoe nyive
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4882,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Avinato,Nsp,Autre,{autre},1.1268538327957458,6.267213621671336,maritime,agoe nyive,sanguera,retenues_eau,agoe nyive
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4883,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Elavagno Atchavé,Barrage de Atchavé 2,Bassins de retentions d eau,{autre},1.1771185335032823,6.210070206039799,maritime,agoe nyive,vakpossito,retenues_eau,agoe nyive
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4884,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassito,N/a,Mare naturelle,{elevage},1.166459816253923,6.282538600594765,maritime,agoe nyive,legbassito,retenues_eau,agoe nyive
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4885,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Togblekope,N/a,Mare naturelle,{autre},1.1605719918239303,6.278044126699387,maritime,agoe nyive,legbassito,retenues_eau,agoe nyive
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4886,Centrale,Blitta,Blitta 1,Blitta,Sondoukope,Etang A1,Citerne,{autre},0.9672267810032636,8.322297534065392,centrale,blitta,blitta,retenues_eau,blitta
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4887,Kara,Bassar,Bassar 4,Sanda-Afohou,Afohou,Nsp,Mare artificielle,{elevage},0.9545215010835361,9.46711277999149,kara,bassar,sanda afohou,retenues_eau,bassar
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4888,Savanes,Tône,Tône 1,Dapaong,Sibortoti,Nsp,Retenue d'eau,{elevage},0.18582590671572707,10.90526590531744,savanes,tone,dapaong,retenues_eau,tone
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_4889,Savanes,Tône,Tône 3,Tami,Nakpogue-nague,Barrage de Nakpogue-nague,Retenue d'eau,"{elevage,irrigation}",0.059840846249721316,10.863405531659309,savanes,tone,tami,retenues_eau,tone
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_488a,Savanes,Tône,Tône 3,Tami,Nakpogue-nague,Barrage de Nakpogue-nague,Retenue d'eau,"{elevage,irrigation}",0.06280406231924938,10.858871593614062,savanes,tone,tami,retenues_eau,tone
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_488b,Savanes,Tône,Tône 3,Tami,Nakpogue-nague,Barrage de Nakpogue-nague,Retenue d'eau,"{elevage,irrigation}",0.060303427186776344,10.860496963579369,savanes,tone,tami,retenues_eau,tone
