indicator_name,country,countryiso3code,year,value,unit,obs_status,decimal
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2023,1544291120.26873,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2022,1482687595.61497,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2021,1410698137.02504,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2020,1365785051.35386,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2019,1322678215.06953,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2018,1252460270.25135,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2017,1197161250.64401,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2016,1120864581.89546,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2015,1089045622.19944,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2014,1096245540.05413,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2013,949380525.867627,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2012,1005180211.3628,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2011,934930014.522874,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2010,940538511.446349,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2009,896726114.122152,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2008,796696630.97282,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2007,828618799.094616,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2006,811425386.840515,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2005,856425722.119458,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2004,778234988.457513,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2003,752881699.622331,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2002,765357557.568292,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2001,762927050.09371,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,2000,722532759.73988,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,1999,758448154.57229,,,0
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",Togo,TGO,1998,719011653.869698,,,0
