indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2023,4.15485533405386,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2022,5.10310864532258,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2021,3.28844466606644,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2020,3.25905694924185,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2019,5.60640097622294,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2018,4.61917887649612,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2017,6.80694795615065,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2016,2.92172880983202,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2015,-0.656779671307262,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2014,15.4695625394557,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2013,-5.5512120975322,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2012,7.51395246154073,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2011,-0.59630699383591,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2010,4.88581704426963,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2009,12.5555298291132,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2008,-3.85245521302146,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2007,2.1189147558037,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2006,-5.25443527870431,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2005,10.0471881657392,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2004,3.36749968127801,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2003,-1.63006921700747,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2002,0.31857665477763,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2001,5.59065174683175,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,2000,-4.73537902569802,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1999,5.48482079398103,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1998,-2.76104060570798,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1997,4.46317430894392,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1996,16.3667159557101,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1995,5.54488435818922,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1994,-0.0626833085125469,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1993,5.99437508696677,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1992,1.22344500933495,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1991,-1.13879100337043,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1990,2.99176081263421,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1989,5.50329761873205,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1988,9.26048459637008,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1987,0.198766444126932,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1986,1.46967375553832,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1985,7.49579714817223,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1984,29.9126577453729,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1983,0.881082257255144,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1982,-8.83535996302426,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1981,0.201206707976297,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1980,16.56676561641,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1979,-4.93343522329843,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1978,17.3719423147406,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1977,-6.06696845420839,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1976,-4.97027324727082,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1975,2.86313107392289,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1974,1.45224044865368,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1973,3.21188108932948,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1972,5.65619856265039,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1971,-0.674134853701219,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1970,-7.09816926482772,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1969,6.44453518845285,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1968,7.3985858938853,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1967,4.74984531015023,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1966,6.38312749871976,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1965,,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1964,,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1963,,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1962,,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1961,,,,1
"Agriculture, forestry, and fishing, value added (annual % growth)",Togo,TGO,1960,,,,1
