indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2023,18.1308320495559,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2022,18.7001426667896,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2021,18.3649911479173,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2020,19.0768869585632,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2019,19.5145346708648,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2018,19.6493699416043,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2017,20.3154574132492,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2016,20.3851787615244,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2015,18.9219528288839,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2014,19.3389328802636,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2013,19.1396404381895,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2012,20.9760506543232,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2011,19.8650690429678,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2010,21.077904458745,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2009,21.3484525661074,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2008,20.681769685743,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2007,16.9298662977208,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2006,16.9609148487036,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2005,17.3325641240129,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2004,15.4058695261762,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2003,14.5723915809563,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2002,15.7403641419633,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2001,15.1644610248179,,,1
"Agriculture, forestry, and fishing, value added (% of GDP)",Togo,TGO,2000,14.8052104263334,,,1
